,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,SPOT,SPOT,SPOT,SPOT,SPOT,SPOT
Price,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,,MSFT,MSFT,MSFT,MSFT,MSFT,,AMZN,AMZN,AMZN,AMZN,AMZN,,NFLX,NFLX,NFLX,NFLX,NFLX,,SPOT,SPOT,SPOT,SPOT,SPOT,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.53850555419922,72.59888386623527,71.29229630932706,71.54588227171874,135480400,APPLE,67.90380859375,67.94204485352648,66.62158297705967,66.62158297705967,28132000,GOOGLE,152.7910919189453,152.8957309046152,150.61271696369764,151.0407802632386,22622100,MICROSOFT,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000,AMAZON,329.80999755859375,329.9800109863281,324.7799987792969,326.1000061035156,4485800,NETFLIX,151.6199951171875,152.8000030517578,149.61000061035156,151.0,662600,SPOTIFY
2020-01-03,71.83329772949219,72.59406313642577,71.60869213351766,71.76567430155144,146322800,APPLE,67.57059478759766,68.15857396884074,66.81993340979412,66.9349453050568,23728000,GOOGLE,150.88861083984375,152.15378632137134,150.35590842973784,150.6032449166099,21116200,MICROSOFT,93.74849700927734,94.30999755859375,93.2249984741211,93.2249984741211,75288000,AMAZON,325.8999938964844,329.8599853515625,325.5299987792969,326.7799987792969,3806900,NETFLIX,152.5,153.58999633789062,149.5,149.5,1018400,SPOTIFY
2020-01-06,72.40567779541016,72.44432080433776,70.7030121336898,70.95418800651902,118387200,APPLE,69.2366943359375,69.35041046473987,67.04121605389896,67.04121605389896,34646000,GOOGLE,151.27865600585938,151.34525107596986,148.88148023780835,149.42370461423545,20813700,MICROSOFT,95.14399719238281,95.18450164794922,93.0,93.0,81236000,AMAZON,335.8299865722656,336.3599853515625,321.20001220703125,323.1199951171875,5663100,NETFLIX,156.72000122070312,157.0,150.35000610351562,151.49000549316406,1311900,SPOTIFY
2020-01-07,72.06515502929688,72.67134838279743,71.84537704823941,72.41534488187352,108872000,APPLE,69.19349670410156,69.67271549564418,69.04650000353651,69.42193680575292,30054000,GOOGLE,149.89930725097656,151.8874339140462,149.65198528111424,151.55450216789137,21634100,MICROSOFT,95.34300231933594,95.69450378417969,94.60199737548828,95.2249984741211,80898000,AMAZON,330.75,336.70001220703125,330.29998779296875,336.4700012207031,4703200,NETFLIX,156.02000427246094,157.85000610351562,155.00999450683594,156.6999969482422,876700,SPOTIFY
2020-01-08,73.22441864013672,73.52631026770732,71.76809372355218,71.76809372355218,132079200,APPLE,69.73876190185547,70.0992936464338,69.06933934334683,69.1309144280784,30560000,GOOGLE,152.2869415283203,152.96234132463985,150.25124929659466,151.18347838942788,27746500,MICROSOFT,94.59850311279297,95.55000305175781,94.3219985961914,94.9020004272461,70160000,AMAZON,339.260009765625,342.70001220703125,331.04998779296875,331.489990234375,7104500,NETFLIX,158.77999877929688,159.47999572753906,155.33999633789062,156.3300018310547,974500,SPOTIFY
2020-01-09,74.77976989746094,74.97297760387046,73.95138098488776,74.20254952913984,170108400,APPLE,70.50898742675781,70.88143863523739,70.03423186106627,70.54573849204765,30018000,GOOGLE,154.189453125,154.31312134782266,153.18112165750648,153.95163855191004,21385000,MICROSOFT,95.05249786376953,95.89099884033203,94.79000091552734,95.49449920654297,63346000,AMAZON,335.6600036621094,343.4200134277344,334.6099853515625,342.0,4709300,NETFLIX,157.74000549316406,159.97999572753906,157.11000061035156,157.83999633789062,1630600,SPOTIFY
2020-01-10,74.94881439208984,75.51396196419593,74.44647000292952,75.01402769601006,140644800,APPLE,71.00062561035156,71.25880752665975,70.43549273531444,70.89285784756291,36414000,GOOGLE,153.47601318359375,155.2643834620675,153.32380836945768,154.88388594177735,20725900,MICROSOFT,94.15799713134766,95.34700012207031,94.0,95.26850128173828,57074000,AMAZON,329.04998779296875,338.5,327.2699890136719,337.1300048828125,4718300,NETFLIX,156.0399932861328,158.66000366210938,154.89999389648438,157.74000549316406,1046400,SPOTIFY
