,Baseline MSE (Test),Baseline RMSE (Test),Baseline MAE (Test),Optimized ARIMA MSE (Test),Optimized ARIMA RMSE (Test),Optimized ARIMA MAE (Test),LSTM MSE (Test),LSTM RMSE (Test),LSTM MAE (Test)
AAPL,3239.1870074828835,56.91385602366864,54.866525393043645,16.817604729390872,4.100927301158955,2.7364896604620377,28.668803248430777,5.354325657674435,4.335611701011658
GOOG,4559.740085346659,67.52584753519692,65.87586233854849,11.09707728503158,3.3312275943008727,2.4840438415954162,50.751277453408875,7.123993083475648,6.170218527317047
MSFT,21074.736362891785,145.17140339230653,139.2400368714944,40.655249882938826,6.376146946466873,4.377343237816871,171.6138184939191,13.100145743231986,11.193869352340698
AMZN,9851.679414787606,99.25562661525848,97.22179690274325,17.956239073784463,4.237480274146945,3.057856150986898,51.27276117264955,7.160500064426335,6.01077139377594
NFLX,417206.5407243168,645.91527364223,611.1935028645264,357.34044115706047,18.903450509286934,13.466463974918064,1762.436426611791,41.9813819045037,33.79452180862424
SPOT,166612.40215225503,408.18182486761344,384.0109247487743,244.3562889503182,15.631899723012499,10.498868523166738,1960.0312976561834,44.27224071194255,36.387606382369995
